vehicle_id,vehicle_type,model,year,location,acquired_date
X87MK0,Full-Size,Chrysler 300,2019,North,2023-01-01
SQZX6N,Mid-Size,Toyota Camry,2018,South,2023-03-12
1I7D1D,Full-Size,Chrysler 300,2023,Central,2023-03-08
5832RI,Compact,Hyundai Elantra,2019,North,2023-03-16
9T3ZZM,Truck,Ford F-150,2023,South,2023-01-13
PPVZHI,Mid-Size,Nissan Altima,2021,East,2023-01-06
BSYHZA,SUV,Ford Explorer,2022,West,2023-01-16
5YYZM9,Compact,Honda Civic,2022,South,2023-02-26
0G70L8,Mid-Size,Honda Accord,2023,West,2023-01-01
IXY8U9,Mid-Size,Nissan Altima,2018,South,2023-03-01
K2I91W,Truck,Chevrolet Silverado,2023,South,2023-03-22
CRF7N3,Full-Size,Chrysler 300,2018,East,2023-01-14
6D1KDJ,Mid-Size,Honda Accord,2023,North,2023-03-08
T4YIKK,Mid-Size,Nissan Altima,2019,West,2023-02-19
0SACC8,Mid-Size,Nissan Altima,2023,West,2023-03-26
SR1GBJ,Mid-Size,Nissan Altima,2018,Central,2023-01-22
H23W6Q,Mid-Size,Honda Accord,2020,South,2023-01-21
ILF6V1,Compact,Honda Civic,2021,South,2023-01-02
KZLQX9,SUV,Toyota RAV4,2023,Central,2023-03-05
UZVP78,SUV,Toyota RAV4,2018,North,2023-03-20
L6Q0S1,Compact,Hyundai Elantra,2018,East,2023-01-02
5PZS2G,Full-Size,Ford Taurus,2021,East,2023-02-14
0VQNZM,Compact,Hyundai Elantra,2018,East,2023-03-07
B8QFI3,Full-Size,Chrysler 300,2022,East,2023-03-12
LKRBUB,Mid-Size,Nissan Altima,2018,West,2023-03-25
4PHQGL,Full-Size,Chevrolet Impala,2023,North,2023-03-07
EY9RDC,Full-Size,Ford Taurus,2021,Central,2023-03-24
3MKDXC,SUV,Toyota RAV4,2023,Central,2023-03-31
6HCZMZ,Compact,Hyundai Elantra,2018,North,2023-03-25
B5L17T,Truck,Ram 1500,2019,Central,2023-02-09
MLYAFX,Compact,Toyota Corolla,2020,South,2023-02-06
AKXJ79,Compact,Toyota Corolla,2018,North,2023-02-08
BG6BR8,Full-Size,Chrysler 300,2018,South,2023-03-27
VLAOTC,Mid-Size,Nissan Altima,2019,West,2023-01-26
TOL86Y,SUV,Ford Explorer,2022,Central,2023-03-09
VRCLAN,SUV,Chevrolet Equinox,2022,West,2023-02-26
RWMJZF,Mid-Size,Nissan Altima,2018,Central,2023-01-06
EZV506,Truck,Ford F-150,2018,South,2023-02-13
X4GT82,Mid-Size,Nissan Altima,2021,Central,2023-01-18
O7LA2O,Mid-Size,Toyota Camry,2020,West,2023-03-07
BHC947,Mid-Size,Toyota Camry,2022,North,2023-02-10
G2UKY8,Truck,Ram 1500,2019,North,2023-02-02
QB4GGW,Compact,Honda Civic,2020,South,2023-01-06
2255EK,Compact,Honda Civic,2019,North,2023-01-12
ZOZQQA,Mid-Size,Nissan Altima,2019,South,2023-03-10
V53MYH,Truck,Ford F-150,2022,Central,2023-03-19
WO7ZC5,SUV,Chevrolet Equinox,2020,South,2023-01-27
0HKGL7,Full-Size,Ford Taurus,2021,West,2023-03-16
6TNN8H,SUV,Toyota RAV4,2018,Central,2023-02-19
194Z6H,SUV,Ford Explorer,2021,South,2023-02-01
9DAHVI,Mid-Size,Honda Accord,2020,West,2023-02-10
WDZISE,Mid-Size,Honda Accord,2023,East,2023-03-04
8NVRVQ,SUV,Chevrolet Equinox,2020,South,2023-03-23
C3XJD5,Full-Size,Chrysler 300,2018,Central,2023-02-14
L618XG,Mid-Size,Honda Accord,2022,West,2023-02-01
BIPW6F,Compact,Hyundai Elantra,2018,East,2023-03-10
WDRCNV,Full-Size,Chrysler 300,2023,Central,2023-02-17
02SJ67,Mid-Size,Nissan Altima,2020,Central,2023-02-05
822CUO,Truck,Ram 1500,2022,West,2023-02-11
JCH660,Compact,Honda Civic,2021,Central,2023-02-18
DYEYBK,Compact,Toyota Corolla,2020,South,2023-01-13
E7U7A0,SUV,Toyota RAV4,2021,South,2023-01-06
RQ5B7B,Compact,Honda Civic,2019,South,2023-03-01
NESVX2,Compact,Toyota Corolla,2018,West,2023-01-16
18QGFJ,Full-Size,Chevrolet Impala,2022,Central,2023-02-17
VB89F2,SUV,Ford Explorer,2023,West,2023-03-12
VR0ULU,Compact,Hyundai Elantra,2023,East,2023-01-20
EJ9GVK,Mid-Size,Toyota Camry,2019,West,2023-02-04
QIUUWL,SUV,Toyota RAV4,2020,North,2023-03-30
U0ZUKT,Truck,Chevrolet Silverado,2020,South,2023-01-04
T8NL0W,Mid-Size,Toyota Camry,2022,West,2023-03-10
PAZ07S,Compact,Honda Civic,2021,North,2023-01-16
SHQASZ,Compact,Hyundai Elantra,2022,Central,2023-03-23
2X2X2P,Compact,Hyundai Elantra,2023,North,2023-02-07
VXUU2I,Compact,Honda Civic,2020,West,2023-01-01
LSXSH3,Full-Size,Ford Taurus,2021,West,2023-03-06
TP5PF9,Compact,Toyota Corolla,2021,Central,2023-01-14
N6SIN6,Mid-Size,Toyota Camry,2023,West,2023-02-02
8E94XG,Full-Size,Ford Taurus,2020,East,2023-02-15
VPE9VD,Full-Size,Ford Taurus,2019,West,2023-03-09
M4PRFD,Compact,Toyota Corolla,2020,South,2023-02-07
98DTY5,SUV,Toyota RAV4,2021,East,2023-03-19
U5EAQJ,Full-Size,Ford Taurus,2023,Central,2023-02-13
1MOT8C,Full-Size,Chevrolet Impala,2022,North,2023-01-31
TOB36G,Compact,Hyundai Elantra,2018,South,2023-01-31
1ZZQLC,Compact,Toyota Corolla,2021,North,2023-03-14
BGTFYW,Truck,Ram 1500,2018,East,2023-03-01
MDS3O3,Mid-Size,Toyota Camry,2020,West,2023-01-12
KCX558,Mid-Size,Honda Accord,2023,North,2023-03-09
DBU89K,Mid-Size,Honda Accord,2023,East,2023-02-07
NX6G93,Full-Size,Chrysler 300,2018,East,2023-02-01
C4X9H9,Truck,Ford F-150,2018,West,2023-01-09
BCQXGJ,Mid-Size,Nissan Altima,2022,South,2023-03-31
OEGF87,Truck,Chevrolet Silverado,2020,North,2023-01-05
WYEBN9,Compact,Toyota Corolla,2020,North,2023-03-31
R3NL3Q,Full-Size,Ford Taurus,2023,East,2023-01-06
000Y3Q,Full-Size,Chrysler 300,2023,East,2023-02-15
KSLBNS,Compact,Honda Civic,2023,Central,2023-01-10
SM0KXJ,Compact,Toyota Corolla,2022,East,2023-02-14
9XUP1P,Mid-Size,Honda Accord,2023,North,2023-03-17
2F38II,Truck,Chevrolet Silverado,2022,West,2023-02-23
8OZGPZ,Full-Size,Chevrolet Impala,2023,North,2023-02-18
6PCOX5,Truck,Ford F-150,2021,South,2023-01-11
41FSUQ,SUV,Toyota RAV4,2018,West,2023-03-27
78H84Z,Mid-Size,Toyota Camry,2022,South,2023-02-03
N1V6Z8,SUV,Chevrolet Equinox,2023,East,2023-02-18
PCR9XZ,Compact,Hyundai Elantra,2019,East,2023-03-22
WVCODM,Compact,Toyota Corolla,2020,Central,2023-02-26
Z2IXIH,SUV,Chevrolet Equinox,2021,South,2023-03-08
8VHFBR,SUV,Ford Explorer,2021,Central,2023-01-17
DVPWHF,Compact,Hyundai Elantra,2022,West,2023-02-11
DDCJ2V,Mid-Size,Honda Accord,2020,West,2023-02-18
J71260,Full-Size,Chrysler 300,2023,North,2023-01-16
8L4EK6,SUV,Toyota RAV4,2022,North,2023-02-04
ESMDIT,Full-Size,Ford Taurus,2023,West,2023-03-16
WYELDA,Mid-Size,Toyota Camry,2021,East,2023-03-25
OWNBHP,Mid-Size,Honda Accord,2018,South,2023-03-16
M3V9GN,Mid-Size,Toyota Camry,2023,Central,2023-03-26
DA7RXJ,Full-Size,Ford Taurus,2018,South,2023-03-31
B6XZTO,SUV,Ford Explorer,2019,East,2023-01-18
P1IMLS,Mid-Size,Nissan Altima,2019,West,2023-03-18
87TH7L,Compact,Honda Civic,2019,Central,2023-02-25
M5JQ7L,Compact,Toyota Corolla,2022,Central,2023-03-19
WB9PYS,Full-Size,Chrysler 300,2020,West,2023-02-27
POAJNN,SUV,Toyota RAV4,2019,North,2023-01-12
JX369X,Compact,Honda Civic,2018,North,2023-02-20
OXE3TF,Compact,Toyota Corolla,2019,West,2023-03-10
PKMBAM,Full-Size,Ford Taurus,2022,East,2023-01-12
K9JL64,Compact,Honda Civic,2022,North,2023-02-15
CDDQUM,SUV,Toyota RAV4,2019,West,2023-02-28
AHWNEX,Mid-Size,Toyota Camry,2018,Central,2023-02-11
WR74B6,Compact,Hyundai Elantra,2021,North,2023-03-13
BR69AC,Truck,Ford F-150,2022,Central,2023-01-12
IJKPLU,Compact,Toyota Corolla,2018,South,2023-02-01
4TLUW6,Mid-Size,Honda Accord,2022,South,2023-03-27
8J73EU,Compact,Toyota Corolla,2019,West,2023-02-16
FRBKVK,Compact,Honda Civic,2019,South,2023-01-17
ANT1ER,Compact,Honda Civic,2021,North,2023-01-11
HFE17X,Compact,Toyota Corolla,2018,Central,2023-02-23
N8RTWX,Compact,Hyundai Elantra,2019,South,2023-03-25
RRLYYP,Compact,Toyota Corolla,2018,North,2023-01-05
ZEO90Z,Full-Size,Chrysler 300,2019,West,2023-01-10
5VXR3Z,Full-Size,Chrysler 300,2022,South,2023-02-03
SE3LME,Mid-Size,Honda Accord,2019,West,2023-01-19
HEDAK1,Mid-Size,Toyota Camry,2018,North,2023-01-11
5IP3Z6,Mid-Size,Nissan Altima,2019,East,2023-01-27
PGFZAQ,SUV,Ford Explorer,2018,East,2023-02-27
M79RUN,SUV,Ford Explorer,2021,Central,2023-03-16
1K06GI,Compact,Hyundai Elantra,2023,East,2023-01-28
N3XGNX,Compact,Honda Civic,2019,Central,2023-03-05
8QCDBE,Compact,Hyundai Elantra,2022,South,2023-03-16
OKK1R0,Compact,Toyota Corolla,2020,East,2023-01-01
TH8R4D,Full-Size,Ford Taurus,2018,Central,2023-03-18
4ZI206,Mid-Size,Nissan Altima,2022,North,2023-01-17
H51MMJ,Compact,Hyundai Elantra,2019,Central,2023-03-03
R64FEC,Mid-Size,Honda Accord,2021,West,2023-03-09
WL11HY,Mid-Size,Nissan Altima,2021,West,2023-03-18
190M9J,Compact,Toyota Corolla,2021,South,2023-02-06
2N72VH,SUV,Chevrolet Equinox,2018,Central,2023-03-01
G82S52,Compact,Toyota Corolla,2019,Central,2023-01-03
N32RA0,Truck,Ram 1500,2022,South,2023-02-10
MNZ3D3,Compact,Hyundai Elantra,2023,East,2023-03-28
KU5HH8,SUV,Toyota RAV4,2018,North,2023-01-15
N8MWS9,Truck,Ram 1500,2020,South,2023-01-14
TSQNPQ,Truck,Ford F-150,2023,North,2023-03-05
1BST1X,SUV,Chevrolet Equinox,2019,East,2023-02-15
PDNJHZ,SUV,Toyota RAV4,2020,East,2023-02-10
R2E9RJ,Full-Size,Chevrolet Impala,2023,East,2023-01-23
N4ZG9E,SUV,Chevrolet Equinox,2023,West,2023-01-16
J0TQ72,Compact,Hyundai Elantra,2021,Central,2023-03-08
8K4H3T,Mid-Size,Honda Accord,2022,North,2023-02-02
VE5KVF,Mid-Size,Nissan Altima,2021,South,2023-03-11
7L11TE,SUV,Chevrolet Equinox,2019,South,2023-02-09
KWTVIT,Mid-Size,Honda Accord,2023,Central,2023-02-05
DRDXU4,Mid-Size,Honda Accord,2018,North,2023-01-21
QFI38C,Full-Size,Ford Taurus,2018,North,2023-03-01
YRJS7H,Mid-Size,Nissan Altima,2021,North,2023-01-26
4DZCCB,Compact,Hyundai Elantra,2023,West,2023-03-23
2UYF73,Mid-Size,Toyota Camry,2022,East,2023-02-06
R6FKBF,Mid-Size,Nissan Altima,2022,Central,2023-03-15
4OX51O,Compact,Honda Civic,2020,South,2023-02-12
MD39SR,Mid-Size,Honda Accord,2020,South,2023-02-07
4MO6N7,Mid-Size,Toyota Camry,2020,East,2023-02-10
FRRL8R,Mid-Size,Honda Accord,2019,North,2023-02-09
5HMRUI,Mid-Size,Honda Accord,2020,Central,2023-02-13
LWK1R8,Full-Size,Ford Taurus,2018,Central,2023-03-21
I4RDZH,Mid-Size,Toyota Camry,2019,North,2023-03-05
ET2JWA,Truck,Ram 1500,2023,Central,2023-01-04
G1AMSC,Truck,Chevrolet Silverado,2022,East,2023-01-06
9SM9UY,Mid-Size,Honda Accord,2018,South,2023-01-03
DFBS46,Mid-Size,Toyota Camry,2019,Central,2023-03-04
UBWWVZ,Mid-Size,Toyota Camry,2019,East,2023-01-19
UZRFC6,SUV,Toyota RAV4,2019,South,2023-02-04
PLKB8C,Full-Size,Chevrolet Impala,2022,Central,2023-03-16
HQMBL2,SUV,Toyota RAV4,2023,West,2023-01-12
J5MAD3,Mid-Size,Nissan Altima,2022,North,2023-01-14
O92BL0,Full-Size,Ford Taurus,2020,West,2023-01-08
C9F24S,Mid-Size,Nissan Altima,2018,West,2023-01-26
250ZNK,Full-Size,Ford Taurus,2018,South,2023-01-09
5IOSON,Compact,Hyundai Elantra,2022,East,2023-02-26
VL9GO4,Full-Size,Chevrolet Impala,2022,Central,2023-03-08
RZXL0I,SUV,Chevrolet Equinox,2021,North,2023-01-17
0EYE5W,Compact,Honda Civic,2021,West,2023-02-17
BDG8VK,Full-Size,Chrysler 300,2023,Central,2023-01-28
JAH4VN,Compact,Toyota Corolla,2022,Central,2023-01-08
AMNEVX,Full-Size,Chrysler 300,2018,South,2023-02-12
9MJ3MW,Compact,Toyota Corolla,2020,South,2023-03-04
05LWE2,Truck,Ford F-150,2018,Central,2023-01-21
BZHQCY,Compact,Honda Civic,2020,East,2023-03-12
RXMAUZ,Truck,Ford F-150,2021,East,2023-03-31
XJZTHE,SUV,Chevrolet Equinox,2019,East,2023-01-06
LAZABF,Full-Size,Chrysler 300,2018,East,2023-01-15
LAWE2U,SUV,Toyota RAV4,2020,West,2023-01-27
DOF9V3,SUV,Ford Explorer,2021,East,2023-03-18
NFIP1P,Truck,Chevrolet Silverado,2022,South,2023-01-13
7NIREY,Mid-Size,Honda Accord,2018,East,2023-02-12
DXNMVZ,Full-Size,Chevrolet Impala,2019,West,2023-02-18
7K3498,Compact,Honda Civic,2022,Central,2023-01-12
2KZ2K3,Full-Size,Ford Taurus,2022,East,2023-01-04
ZR5DY2,Compact,Hyundai Elantra,2023,West,2023-01-11
BOSH5W,Full-Size,Chevrolet Impala,2022,East,2023-01-06
JPED09,Full-Size,Chevrolet Impala,2023,West,2023-02-15
JIYSFY,Mid-Size,Nissan Altima,2021,South,2023-03-26
HEQ0SX,Mid-Size,Nissan Altima,2023,East,2023-02-01
IRZTI8,SUV,Ford Explorer,2020,North,2023-01-24
C60EJN,SUV,Ford Explorer,2023,South,2023-01-22
8SJ7E3,Mid-Size,Honda Accord,2020,West,2023-03-30
3NB58N,Full-Size,Chrysler 300,2020,North,2023-03-28
GJEVSM,Truck,Ford F-150,2022,South,2023-02-28
XWAO52,Compact,Toyota Corolla,2020,West,2023-02-11
48CJQS,Compact,Hyundai Elantra,2018,Central,2023-01-15
20ZFY2,Compact,Hyundai Elantra,2023,East,2023-03-25
1UDF05,Full-Size,Chrysler 300,2020,East,2023-01-01
3PVGVH,Mid-Size,Nissan Altima,2023,East,2023-01-15
22B72N,SUV,Toyota RAV4,2020,West,2023-03-03
QC7D7X,Full-Size,Chevrolet Impala,2023,East,2023-01-17
7N6PMM,Mid-Size,Toyota Camry,2021,North,2023-01-10
8QRXUT,SUV,Ford Explorer,2022,East,2023-02-23
NF9R9Q,SUV,Ford Explorer,2022,South,2023-01-03
VT8DSF,Mid-Size,Nissan Altima,2019,West,2023-01-25
5T7JFW,Mid-Size,Honda Accord,2022,North,2023-02-27
FNLHEX,Mid-Size,Toyota Camry,2023,West,2023-01-17
1OKFY3,Compact,Toyota Corolla,2021,North,2023-03-10
TPX69G,Compact,Toyota Corolla,2023,Central,2023-01-09
R5W39D,Truck,Chevrolet Silverado,2023,West,2023-02-25
WTKXDR,Mid-Size,Honda Accord,2021,North,2023-01-07
OOW78Z,Mid-Size,Toyota Camry,2020,Central,2023-03-07
L89453,Full-Size,Chrysler 300,2023,East,2023-03-09
10WXO5,Full-Size,Chevrolet Impala,2019,West,2023-03-13
WW0C7U,Truck,Chevrolet Silverado,2021,North,2023-01-26
7DI8YX,SUV,Chevrolet Equinox,2022,North,2023-01-22
OUTHUS,Mid-Size,Honda Accord,2023,Central,2023-03-30
LM1YQV,Mid-Size,Nissan Altima,2019,East,2023-03-07
IRUJGS,Truck,Ram 1500,2018,West,2023-01-17
7Q6406,Full-Size,Chevrolet Impala,2020,Central,2023-01-03
O1FLUB,Truck,Chevrolet Silverado,2023,East,2023-02-01
17D9DE,Compact,Toyota Corolla,2021,South,2023-03-01
1Y7PUF,SUV,Chevrolet Equinox,2018,Central,2023-02-03
Y9V7O9,Full-Size,Ford Taurus,2018,North,2023-03-14
TFNRC6,Compact,Honda Civic,2020,East,2023-02-15
IY7PVS,Full-Size,Chevrolet Impala,2020,Central,2023-03-31
1BMWD4,Full-Size,Chevrolet Impala,2018,South,2023-03-20
WAAFXS,Compact,Toyota Corolla,2020,South,2023-02-12
RURMAB,Mid-Size,Toyota Camry,2020,East,2023-03-17
Y0IIOX,SUV,Chevrolet Equinox,2019,North,2023-02-10
VUBP1V,Mid-Size,Nissan Altima,2019,North,2023-01-01
3Z6UUU,Mid-Size,Toyota Camry,2021,South,2023-01-28
JPGPFR,Mid-Size,Toyota Camry,2023,Central,2023-02-06
8Q0P6H,Mid-Size,Honda Accord,2023,South,2023-03-29
405E66,Truck,Ram 1500,2021,West,2023-03-16
KWVBSX,SUV,Ford Explorer,2018,East,2023-01-14
HNV7C7,Compact,Toyota Corolla,2023,West,2023-01-01
34BUN7,Truck,Chevrolet Silverado,2023,South,2023-02-17
0XB5RF,SUV,Chevrolet Equinox,2019,Central,2023-02-18
56RXVK,Mid-Size,Nissan Altima,2020,South,2023-03-08
097YM6,SUV,Ford Explorer,2018,West,2023-01-24
7AMTUZ,Compact,Toyota Corolla,2022,Central,2023-03-15
SAF1YX,Truck,Chevrolet Silverado,2022,East,2023-02-07
PJLYSE,Full-Size,Ford Taurus,2018,West,2023-01-31
O3V5SR,Full-Size,Chrysler 300,2022,North,2023-02-07
8SEOXM,Compact,Honda Civic,2020,East,2023-03-27
O5PKDO,SUV,Chevrolet Equinox,2021,South,2023-02-05
1KQX73,Compact,Toyota Corolla,2019,Central,2023-02-20
KFYJOD,Compact,Toyota Corolla,2022,Central,2023-03-22
1FNOB1,Compact,Hyundai Elantra,2020,West,2023-01-02
WTGBCW,SUV,Ford Explorer,2023,Central,2023-02-18
022OAI,Compact,Honda Civic,2018,Central,2023-03-05
21SA13,Truck,Ram 1500,2021,West,2023-03-23
I2X5WD,Full-Size,Chrysler 300,2019,East,2023-01-06
XDJ58R,Compact,Toyota Corolla,2023,South,2023-03-07
KOIUPC,Compact,Toyota Corolla,2021,Central,2023-03-14
VXY8ZY,Compact,Hyundai Elantra,2022,North,2023-02-01
HQP8RY,Full-Size,Chrysler 300,2018,North,2023-03-09
TC7YIC,SUV,Ford Explorer,2022,Central,2023-02-14
